#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
1,MIROSLAV RADULJICA,CZV,3,1,13:30,3,0,2,0%,0,0,0%,3,5,60%,0,0,0,0,1,3,0,0,6,2,-7
2,GREGOR GLAS,PAR,1,0,7:54,0,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,0,4,0,0,2,0,-6
2,DIMITRIS AGRAVANIS,PAO,4,0,34:40,3,1,9,11.1%,0,4,0%,1,2,50%,4,6,10,0,3,1,1,0,12,3,-6
4,EGEHAN ARNA,EFS,5,0,13:35,0,0,0,0%,0,3,0%,0,0,0%,0,0,0,1,0,0,0,0,3,0,-5
5,LUCAS MARÍ,VBC,3,0,9:12,0,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,5,0,-4
6,SERGI MARTINEZ,BAR,1,0,11:51,0,0,1,0%,0,1,0%,0,2,0%,0,0,0,0,0,1,0,0,0,2,-3
6,MANTAS KALNIETIS,ZAL,2,0,12:10,0,0,3,0%,0,1,0%,0,0,0%,0,1,1,3,0,2,0,1,0,0,-3
8,RIKUS SCHULTE,BER,3,0,4:53,0,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,-2
8,KAJUS KUBLICKAS,ZAL,1,0,0:10,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,-2
10,NILS MACHOWSKI,BER,3,0,6:43,2,1,1,100%,0,2,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,-1
10,LIUTAURAS LELEVICIUS,ZAL,1,0,1:27,0,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,-1
10,MILLAN JIMENEZ,VBC,1,0,1:45,0,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,-1
10,OMERCAN ILYASOGLU,EFS,3,0,7:39,0,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,0,3,0,0,0,0,-1
10,SERGIO DE LARREA,VBC,2,0,2:10,0,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,-1
10,NEOKLIS AVDALAS,PAO,1,0,1:37,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,-1
10,VENIAMIN ABOSI,OLY,1,0,1:26,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0,0,-1
17,TRISTAN VUKCEVIC,PAR,12,2,79:23,13,3,10,30%,2,8,25%,1,1,100%,2,12,14,7,4,6,3,1,22,1,0
17,NIKOLA TOPIC,CZV,2,0,8:06,0,0,1,0%,0,1,0%,0,0,0%,1,1,2,1,0,0,0,1,0,0,0
17,LEO MENALO,VIR,1,0,1:12,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
17,PAUL LACOMBE,ASV,3,0,29:11,4,2,5,40%,0,2,0%,0,0,0%,1,3,4,1,2,3,0,0,4,1,0
17,MOTIEJUS KRIVAS,ZAL,2,0,2:13,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
17,DORDIJE JOVANOVIC,PAR,1,0,1:23,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
17,JASON GEORGE,BAY,1,0,1:02,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
17,NIKOS CHOUGKAZ,PAO,1,0,0:55,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
17,GORA CAMARA,VIR,2,0,3:33,0,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
26,ALEXANDROS SAMONTOUROV,PAO,2,0,2:26,4,2,3,66.7%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,1,0,1
26,ARTURS KURUCS,BKN,22,0,161:22,34,1,10,10%,10,22,45.5%,2,4,50%,3,3,6,20,3,13,0,1,31,6,1
26,ERTEN GAZI,EFS,11,1,51:41,8,2,4,50%,0,7,0%,4,5,80%,3,5,8,1,3,1,0,1,11,4,1
26,GUILLEM FERRANDO,VBC,7,3,69:24,15,1,1,100%,4,12,33.3%,1,2,50%,0,0,0,6,1,4,0,0,11,3,1
26,TOMMASO BALDASSO,EA7,4,0,30:12,7,0,1,0%,2,5,40%,1,2,50%,0,1,1,3,1,2,0,0,5,1,1
31,PANAGIOTIS TSAMIS,OLY,1,0,1:18,2,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,2
31,ZAN MARK SISKO,BAY,1,0,10:56,0,0,1,0%,0,0,0%,0,0,0%,1,1,2,2,0,0,0,0,2,1,2
33,ELIAS RAPIEQUE,BER,3,0,6:09,3,0,0,0%,1,1,100%,0,0,0%,2,0,2,1,1,3,0,0,1,0,3
33,BALSA KOPRIVICA,PAR,5,1,26:28,6,3,6,50%,0,0,0%,0,1,0%,3,5,8,1,0,3,0,1,6,2,3
33,SAMET GEYIK,FBB,1,0,11:11,2,1,1,100%,0,1,0%,0,0,0%,0,1,1,1,1,0,1,0,3,1,3
33,VLADIMIR BRODZIANSKY,PAR,5,2,49:53,11,1,5,20%,3,6,50%,0,0,0%,1,6,7,2,2,2,1,0,11,0,3
37,ORIOL PAULI,BAR,12,0,47:34,6,3,4,75%,0,4,0%,0,0,0%,2,8,10,2,1,2,0,0,8,0,4
38,DOVYDAS GIEDRAITIS,ZAL,14,4,123:09,22,8,14,57.1%,2,14,14.3%,0,0,0%,3,4,7,8,8,7,0,0,18,3,5
38,LUIGI DATOME,EA7,5,1,44:52,14,2,7,28.6%,3,9,33.3%,1,1,100%,2,2,4,0,1,0,0,0,5,2,5
40,GEORGE PAPAS,OLY,2,0,6:03,7,1,3,33.3%,1,1,100%,2,2,100%,0,1,1,0,0,0,0,0,1,1,6
40,JAYLEN ADAMS,CZV,3,2,58:23,17,3,11,27.3%,2,9,22.2%,5,5,100%,0,6,6,8,2,4,1,2,10,3,6
42,ISMET AKPINAR,FBB,5,1,31:45,16,2,2,100%,4,6,66.7%,0,0,0%,0,2,2,2,1,4,0,0,10,2,7
43,IFTAH ZIV,MTA,6,0,40:21,12,4,7,57.1%,0,6,0%,4,4,100%,1,4,5,7,1,4,0,0,8,4,8
43,MATTHEW STRAZEL,ASM,20,3,146:54,33,5,14,35.7%,6,17,35.3%,5,8,62.5%,1,2,3,13,5,11,0,2,27,17,8
43,MARTIN HERMANNSSON,VBC,4,0,27:30,7,2,3,66.7%,1,4,25%,0,0,0%,0,0,0,5,2,3,1,0,4,4,8
46,ANTHONY RANDOLPH,RMB,1,0,6:52,6,1,1,100%,1,1,100%,1,1,100%,0,2,2,0,1,0,0,0,1,1,9
46,SANDER RAIESTE,BKN,19,2,132:38,24,9,14,64.3%,2,11,18.2%,0,2,0%,9,12,21,5,4,6,1,3,25,4,9
46,ELI NDIAYE,RMB,12,0,59:03,8,3,5,60%,0,5,0%,2,2,100%,4,8,12,1,3,4,2,0,7,1,9
49,ANTHONY POLITE,ASV,8,1,63:41,9,4,8,50%,0,4,0%,1,2,50%,7,8,15,1,1,1,0,1,10,5,10
49,DOGUS BALBAY,EFS,4,0,23:11,6,1,2,50%,1,2,50%,1,1,100%,2,6,8,1,1,2,1,0,4,1,10
51,BUGRAHAN TUNCER,EFS,7,1,63:57,8,1,5,20%,2,8,25%,0,0,0%,0,4,4,13,3,4,0,0,6,3,11
52,KAROLIS LUKOSIUNAS,ZAL,20,0,139:30,40,2,3,66.7%,12,31,38.7%,0,0,0%,3,5,8,6,4,4,0,2,20,2,14
53,YOAN MAKOUNDOU,ASM,6,0,49:37,15,4,11,36.4%,1,3,33.3%,4,5,80%,8,5,13,3,1,5,2,3,4,3,15
54,RAFI MENCO,MTA,20,0,112:34,27,6,10,60%,4,17,23.5%,3,3,100%,9,11,20,6,5,4,0,0,23,3,17
54,TARIK BIBEROVIC,FBB,9,2,114:06,35,6,16,37.5%,7,20,35%,2,4,50%,3,8,11,3,5,2,0,1,17,8,17
54,DAVIDE ALVITI,EA7,5,0,49:04,10,1,1,100%,2,6,33.3%,2,2,100%,2,7,9,1,1,0,0,0,4,4,17
57,AUSTIN HOLLINS,MTA,19,5,184:25,35,6,15,40%,7,29,24.1%,2,2,100%,14,10,24,5,11,9,4,2,29,10,18
58,NIKLAS WIMBERG,BAY,20,7,229:50,42,12,26,46.2%,6,25,24%,0,0,0%,12,14,26,10,3,6,3,2,27,5,21
59,NEMANJA BJELICA,FBB,7,0,59:29,19,7,14,50%,1,6,16.7%,2,5,40%,5,10,15,6,2,5,1,1,5,5,22
60,MAX HEIDEGGER,BKN,11,0,101:34,28,3,10,30%,4,14,28.6%,10,10,100%,0,4,4,21,2,8,0,0,17,10,23
60,TYLER DORSEY,FBB,7,2,124:53,51,7,16,43.8%,10,28,35.7%,7,10,70%,0,4,4,9,1,6,0,4,14,12,23
62,JONAS MATTISSECK,BER,15,1,184:21,37,4,9,44.4%,9,28,32.1%,2,2,100%,3,9,12,13,9,3,0,0,25,5,24
63,SULEIMAN BRAIMOH,MTA,10,1,88:42,24,9,11,81.8%,0,4,0%,6,11,54.5%,8,6,14,4,4,4,0,0,13,8,26
64,JOFFREY LAUVERGNE,ASV,3,0,54:46,25,9,15,60%,0,0,0%,7,10,70%,2,5,7,4,2,3,0,1,6,13,32
64,ANDREW ANDREWS,PAO,4,1,79:05,33,5,12,41.7%,5,8,62.5%,8,9,88.9%,0,6,6,7,3,10,0,0,9,13,32
66,ELEFTHERIOS MANTZOUKAS,PAO,20,0,249:26,59,11,19,57.9%,11,27,40.7%,4,5,80%,9,24,33,8,2,10,2,3,38,5,33
66,KOSTAS ANTETOKOUNMPO,FBB,10,4,88:44,38,14,17,82.4%,0,1,0%,10,17,58.8%,4,7,11,6,3,10,1,0,20,15,33
68,JAMES NNAJI,BAR,14,0,88:09,30,13,17,76.5%,0,0,0%,4,9,44.4%,7,11,18,4,0,10,6,0,15,10,34
68,ADRIEN MOERMAN,ASM,16,2,233:34,46,6,23,26.1%,10,44,22.7%,4,8,50%,13,31,44,11,7,12,0,1,18,12,34
70,BRANKO LAZIC,CZV,25,16,460:18,68,7,17,41.2%,17,34,50%,3,5,60%,14,15,29,15,15,12,1,3,69,20,35
70,DALIBOR ILIC,CZV,6,0,59:50,23,7,10,70%,0,1,0%,9,12,75%,7,9,16,1,2,1,0,2,4,7,35
72,PAUL ZIPSER,BAY,19,5,187:10,55,4,13,30.8%,14,33,42.4%,5,6,83.3%,2,19,21,2,8,6,1,2,20,6,36
73,GEORGIOS KALAITZAKIS,PAO,26,16,256:08,52,13,30,43.3%,4,19,21.1%,14,22,63.6%,9,20,29,9,15,8,3,3,49,30,38
73,METECAN BIRSEN,FBB,23,3,202:13,56,10,25,40%,10,31,32.3%,6,9,66.7%,14,22,36,9,3,5,1,2,34,13,38
75,ELEFTHERIOS BOCHORIDIS,PAO,16,1,190:10,32,6,19,31.6%,6,19,31.6%,2,7,28.6%,5,20,25,23,9,11,3,6,26,21,39
76,AWUDU ABASS,VIR,7,3,117:07,47,8,14,57.1%,10,17,58.8%,1,1,100%,1,6,7,5,4,5,2,0,9,2,40
77,SAM VAN ROSSOM,VBC,6,2,97:34,52,4,9,44.4%,14,25,56%,2,2,100%,2,4,6,13,1,7,0,2,8,2,41
78,CHRIS SINGLETON,EFS,13,8,196:21,35,6,12,50%,6,16,37.5%,5,8,62.5%,4,19,23,9,7,5,1,2,23,17,43
79,DENNIS SEELEY,BAY,12,1,155:33,74,17,38,44.7%,6,29,20.7%,22,23,95.7%,9,6,15,13,2,8,0,5,19,18,45
79,ZACCHARIE RISACHER,ASV,18,10,236:42,58,17,29,58.6%,7,18,38.9%,3,5,60%,15,18,33,9,10,14,4,1,39,10,45
79,SEHMUS HAZER,FBB,16,0,96:33,43,15,22,68.2%,3,5,60%,4,7,57.1%,5,8,13,9,6,15,0,0,8,9,45
82,PANAGIOTIS KALAITZAKIS,PAO,24,7,193:06,54,8,17,47.1%,10,21,47.6%,8,14,57.1%,9,18,27,8,9,11,2,3,35,24,49
83,MICHALIS LOUNTZIS,OLY,18,0,133:37,33,7,14,50%,5,14,35.7%,4,6,66.7%,2,23,25,10,11,13,2,0,9,10,51
84,RUDY FERNANDEZ,RMB,12,0,216:22,54,2,4,50%,16,52,30.8%,2,2,100%,3,21,24,23,9,9,3,2,23,12,53
85,UROS TRIFUNOVIC,PAR,29,9,259:16,54,9,22,40.9%,11,23,47.8%,3,4,75%,4,19,23,15,9,5,0,2,22,10,56
86,CHIMA MONEKE,ASM,11,1,147:54,47,15,31,48.4%,0,2,0%,17,20,85%,15,27,42,5,2,9,2,3,20,14,59
87,SHANNON EVANS,VBC,11,1,137:52,62,13,24,54.2%,10,33,30.3%,6,6,100%,3,11,14,24,5,12,0,2,16,20,61
88,JOHN HOLLAND,CZV,21,5,198:02,80,9,22,40.9%,16,41,39%,14,16,87.5%,2,13,15,8,9,7,1,1,29,26,62
89,KYLE KURIC,BAR,16,5,197:36,73,11,23,47.8%,15,37,40.5%,6,7,85.7%,7,11,18,9,9,8,0,0,14,11,63
90,YAKUBA OUATTARA,ASM,28,10,290:45,104,20,34,58.8%,20,52,38.5%,4,8,50%,9,15,24,6,9,4,0,2,30,8,65
91,MATT THOMAS,PAO,10,5,183:42,81,9,16,56.2%,17,42,40.5%,12,16,75%,4,16,20,4,6,10,0,0,18,20,67
92,MELIH MAHMUTOGLU,FBB,17,0,186:54,101,8,13,61.5%,27,63,42.9%,4,4,100%,2,11,13,6,2,0,0,1,19,7,68
92,ANTOINE DIOT,ASV,24,1,311:29,77,8,17,47.1%,18,53,34%,7,7,100%,3,21,24,34,13,16,0,0,35,15,68
92,JAKE COHEN,MTA,21,13,266:02,68,19,30,63.3%,7,26,26.9%,9,12,75%,7,31,38,23,5,12,1,2,39,19,68
95,DESHAUN THOMAS,EA7,21,6,209:34,87,22,47,46.8%,10,28,35.7%,13,16,81.2%,11,19,30,3,1,8,2,0,17,18,70
95,ALBERTO ABALDE,RMB,24,10,345:01,63,10,27,37%,9,36,25%,16,24,66.7%,10,40,50,38,7,14,0,2,40,20,70
97,PARKER JACKSON-CARTWRIGHT,ASV,15,6,237:37,81,20,56,35.7%,9,31,29%,14,17,82.4%,3,29,32,33,12,23,1,7,32,35,71
97,ZYLAN ANTHONY CHEATHAM,BAY,5,2,107:05,62,22,30,73.3%,0,3,0%,18,27,66.7%,6,20,26,6,0,8,2,3,15,21,71
99,STEFAN LAZAREVIC,CZV,29,17,519:13,80,23,46,50%,7,21,33.3%,13,16,81.2%,35,45,80,15,10,7,0,4,85,25,74
99,MALTE DELOW,BER,24,4,342:11,93,25,38,65.8%,13,36,36.1%,4,7,57.1%,13,35,48,22,15,24,2,3,50,10,74
101,GIAMPAOLO RICCI,EA7,28,5,288:45,74,17,28,60.7%,11,33,33.3%,7,10,70%,21,41,62,10,12,8,7,1,53,9,76
102,TIM SCHNEIDER,BER,22,3,233:19,75,9,26,34.6%,16,36,44.4%,9,12,75%,10,31,41,9,7,3,3,5,24,14,77
102,ELIAS HARRIS,BAY,15,3,211:23,77,27,46,58.7%,0,7,0%,23,30,76.7%,5,22,27,6,3,10,0,5,20,32,77
104,STEFAN MARKOVIC,CZV,28,8,461:31,62,7,16,43.8%,14,45,31.1%,6,8,75%,5,46,51,58,14,21,2,3,61,19,79
104,FABIEN CAUSEUR,RMB,24,7,320:22,98,18,44,40.9%,15,46,32.6%,17,22,77.3%,7,21,28,31,11,18,3,3,38,29,79
106,SHAVON SHIELDS,EA7,9,7,195:39,77,16,35,45.7%,9,27,33.3%,18,22,81.8%,2,21,23,17,6,8,1,3,15,23,80
106,DANIEL DIEZ,BKN,24,6,228:09,67,4,8,50%,18,34,52.9%,5,7,71.4%,7,37,44,10,7,7,2,2,28,9,80
106,ISAIAH CANAAN,OLY,31,28,477:29,176,24,62,38.7%,38,113,33.6%,14,18,77.8%,9,22,31,28,15,28,1,5,55,34,80
109,OSCAR DA SILVA,BAR,27,0,330:27,78,22,41,53.7%,6,20,30%,16,25,64%,26,43,69,5,8,10,3,8,40,20,83
110,TYLER CAVANAUGH,ZAL,14,2,282:22,83,14,40,35%,15,46,32.6%,10,13,76.9%,12,48,60,14,5,13,2,5,20,18,84
111,ISAIAH TAYLOR,"EFS, ZAL",22,5,321:24,128,40,84,47.6%,10,21,47.6%,18,27,66.7%,5,13,18,36,11,21,0,9,41,28,86
112,ALEX POYTHRESS,MTA,11,11,285:28,90,33,59,55.9%,2,10,20%,18,27,66.7%,20,21,41,12,6,20,9,3,29,25,88
113,DARRUN HILLIARD,MTA,26,4,321:42,124,8,30,26.7%,31,71,43.7%,15,16,93.8%,7,26,33,26,10,15,1,2,42,19,91
114,YVES PONS,ASV,29,3,418:17,110,31,50,62%,12,35,34.3%,12,26,46.2%,15,37,52,7,15,14,12,5,49,20,92
115,ADAM HANGA,RMB,19,11,234:07,82,13,31,41.9%,13,30,43.3%,17,24,70.8%,3,27,30,34,12,19,4,0,39,31,93
116,ALEKSA AVRAMOVIC,PAR,19,6,261:34,120,32,59,54.2%,15,45,33.3%,11,16,68.8%,5,31,36,28,9,20,4,0,42,22,95
117,TOMAS DIMSA,ZAL,32,7,487:09,185,27,64,42.2%,37,102,36.3%,20,30,66.7%,11,21,32,27,16,28,4,6,66,44,96
118,NAZ MITROU-LONG,EA7,21,3,368:36,155,18,44,40.9%,31,88,35.2%,26,28,92.9%,6,35,41,42,8,38,1,3,52,30,99
118,OGNJEN KUZMIC,CZV,21,16,194:35,63,27,38,71.1%,0,0,0%,9,15,60%,22,28,50,9,5,5,2,2,24,18,99
120,NICCOLO MANNION,VIR,19,3,254:39,112,15,40,37.5%,21,55,38.2%,19,22,86.4%,3,24,27,49,7,25,0,5,26,24,101
121,JAIME PRADILLA,VBC,29,8,391:40,109,41,73,56.2%,7,20,35%,6,14,42.9%,28,35,63,18,7,20,4,7,43,26,104
122,JALEN ADAMS,MTA,23,8,364:32,154,36,76,47.4%,20,56,35.7%,22,26,84.6%,8,24,32,31,13,23,2,7,41,26,107
123,GABRIELE PROCIDA,BER,26,4,385:46,154,36,59,61%,19,77,24.7%,25,33,75.8%,17,31,48,13,13,23,7,4,36,27,110
124,ALEN SMAILAGIC,PAR,24,10,250:57,121,31,53,58.5%,14,32,43.8%,17,27,63%,29,22,51,9,13,13,9,5,51,30,114
124,NIKOLA IVANOVIC,CZV,19,1,302:27,94,17,36,47.2%,15,47,31.9%,15,18,83.3%,9,21,30,36,17,15,0,1,20,27,114
126,OGNJEN JARAMAZ,BAY,24,5,377:53,152,26,59,44.1%,18,56,32.1%,46,52,88.5%,4,26,30,37,8,29,1,5,51,52,118
127,ISAIA CORDINIER,VIR,19,6,342:29,125,33,57,57.9%,11,46,23.9%,26,33,78.8%,8,40,48,29,16,25,2,1,43,35,120
128,KEVIN PANGOS,EA7,15,10,375:23,137,25,51,49%,26,87,29.9%,9,12,75%,4,33,37,52,10,24,0,5,36,40,121
129,HASSAN MARTIN,CZV,22,3,312:22,107,43,74,58.1%,0,0,0%,21,31,67.7%,13,53,66,10,11,18,9,7,39,26,124
129,DEE BOST,ASV,14,14,362:52,131,11,29,37.9%,29,97,29.9%,22,30,73.3%,6,25,31,60,16,22,2,2,31,33,124
129,DANILO ANDJUSIC,PAR,23,2,300:15,155,19,37,51.4%,25,56,44.6%,42,48,87.5%,3,18,21,27,6,30,2,2,36,36,124
132,SERGIO LLULL,RMB,23,2,415:31,154,16,52,30.8%,29,97,29.9%,35,39,89.7%,1,31,32,58,8,26,0,3,27,40,128
133,STEFANO TONUT,EA7,23,3,353:35,103,29,46,63%,12,31,38.7%,9,14,64.3%,10,39,49,23,13,11,0,4,21,20,131
133,STEVEN ENOCH,BKN,23,6,300:15,120,45,74,60.8%,3,9,33.3%,21,33,63.6%,23,45,68,4,6,16,9,3,35,25,131
135,NIGEL WILLIAMS-GOSS,RMB,19,16,272:21,123,43,68,63.2%,8,21,38.1%,13,19,68.4%,4,26,30,35,13,17,0,2,31,25,132
135,JARON BLOSSOMGAME,ASM,31,16,553:09,158,44,76,57.9%,16,65,24.6%,22,40,55%,28,56,84,6,12,12,4,2,62,43,132
137,JONAH RADEBAUGH,VBC,33,17,567:07,186,42,84,50%,27,78,34.6%,21,22,95.5%,10,45,55,44,22,25,7,9,74,23,135
137,VLADIMIR LUCIC,BAY,16,13,388:01,140,21,51,41.2%,21,46,45.7%,35,37,94.6%,13,29,42,12,12,15,2,5,35,39,135
139,CARSEN EDWARDS,FBB,29,2,456:46,226,46,105,43.8%,35,99,35.4%,29,34,85.3%,5,32,37,32,17,30,2,9,53,42,136
140,ALESSANDRO PAJOLA,VIR,29,0,483:51,89,21,42,50%,12,37,32.4%,11,15,73.3%,10,41,51,73,36,24,0,4,64,35,142
140,TARIK BLACK,OLY,27,1,281:42,128,43,65,66.2%,0,0,0%,42,56,75%,26,20,46,15,16,25,7,2,60,53,142
140,MARCO BELINELLI,VIR,20,0,330:52,188,23,52,44.2%,39,98,39.8%,25,26,96.2%,3,25,28,21,9,11,0,4,23,23,142
143,TIMOTHE LUWAWU-CABARROT,EA7,24,17,516:51,226,63,123,51.2%,24,72,33.3%,28,34,82.4%,14,49,63,26,15,43,2,6,62,37,144
144,VICTOR CLAVER,VBC,29,11,515:24,138,21,38,55.3%,25,61,41%,21,26,80.8%,15,61,76,26,23,26,3,3,64,30,145
145,YAM MADAR,PAR,32,19,424:34,186,45,90,50%,22,61,36.1%,30,34,88.2%,8,22,30,47,20,27,5,6,57,36,146
146,AMINE NOUA,ASV,29,19,581:54,193,46,92,50%,29,85,34.1%,14,20,70%,17,70,87,23,9,31,7,12,46,25,147
147,ALEC PETERS,OLY,30,3,423:17,152,24,51,47.1%,28,67,41.8%,20,21,95.2%,21,58,79,13,13,19,4,5,50,29,149
147,FACUNDO CAMPAZZO,CZV,8,6,222:11,111,18,33,54.5%,15,44,34.1%,30,33,90.9%,2,20,22,50,15,23,0,2,17,40,149
149,CHARLES KAHUDI,ASV,28,11,529:09,177,32,67,47.8%,27,76,35.5%,32,36,88.9%,16,53,69,12,11,21,4,2,50,43,155
150,SERTAC SANLI,BAR,30,18,538:39,192,54,89,60.7%,20,77,26%,24,28,85.7%,27,68,95,32,8,31,17,6,85,32,158
150,JOSEP PUERTO,VBC,32,22,515:12,146,24,43,55.8%,26,52,50%,20,24,83.3%,18,54,72,18,10,19,1,4,57,40,158
152,KYLE WEEMS,VIR,28,7,503:25,179,37,69,53.6%,31,77,40.3%,12,16,75%,23,52,75,27,19,18,3,7,52,15,159
152,IOANNIS PAPAPETROU,PAR,32,21,661:25,163,40,94,42.6%,22,64,34.4%,17,23,73.9%,17,63,80,30,17,20,7,4,54,42,159
154,ANDREAS OBST,BAY,24,13,478:10,236,16,35,45.7%,65,162,40.1%,9,9,100%,3,42,45,32,15,26,2,7,44,23,160
155,MIKE TOBEY,BAR,26,12,380:46,153,39,54,72.2%,23,54,42.6%,6,6,100%,27,50,77,14,5,10,5,3,46,12,161
156,ALEX ABRINES,BAR,29,4,482:07,196,15,40,37.5%,48,101,47.5%,22,26,84.6%,16,41,57,21,17,18,3,1,68,37,162
157,LUKAS LEKAVICIUS,ZAL,28,4,443:11,183,43,77,55.8%,20,58,34.5%,37,41,90.2%,3,27,30,42,7,39,2,6,39,60,164
