#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
157,TONYE JEKIRI,FBB,24,5,315:40,120,51,76,67.1%,0,1,0%,18,25,72%,32,46,78,21,10,13,4,5,45,27,164
159,NIELS GIFFEY,BAY,25,4,488:31,171,35,68,51.5%,25,54,46.3%,26,28,92.9%,22,44,66,17,16,14,1,4,52,28,165
160,KYLE ALEXANDER,VBC,26,7,378:42,148,65,99,65.7%,2,11,18.2%,12,18,66.7%,31,47,78,10,8,12,14,5,51,26,167
161,DEVON HALL,EA7,24,20,724:44,188,34,82,41.5%,26,80,32.5%,42,50,84%,10,48,58,57,22,42,3,6,54,56,172
161,JOEL BOLOMBOY,OLY,29,1,354:35,121,45,76,59.2%,2,4,50%,25,36,69.4%,37,55,92,17,7,21,8,7,45,44,172
163,JOHANNES VOIGTMANN,EA7,29,14,451:56,128,29,60,48.3%,21,70,30%,7,14,50%,33,80,113,43,11,22,8,2,37,20,175
164,YOVEL ZOOSMAN,BER,26,5,563:08,175,45,82,54.9%,21,70,30%,22,25,88%,28,48,76,46,26,25,6,8,62,36,181
165,SERGIO RODRIGUEZ,RMB,32,3,456:27,129,26,55,47.3%,20,66,30.3%,17,21,81%,4,45,49,134,11,36,0,4,53,31,182
165,BEN LAMMERS,BER,28,15,461:06,183,69,136,50.7%,9,31,29%,18,21,85.7%,32,50,82,22,25,16,21,6,53,16,182
165,PIERRIA HENRY,BKN,13,1,311:19,129,38,74,51.4%,8,31,25.8%,29,36,80.6%,5,31,36,80,18,31,2,2,25,41,182
168,NATE WOLTERS,PAO,22,16,473:03,179,55,108,50.9%,18,52,34.6%,15,18,83.3%,12,42,54,66,15,20,2,11,46,35,184
169,KLEMEN PREPELIC,VBC,27,11,500:18,192,21,42,50%,28,104,26.9%,66,70,94.3%,3,17,20,84,13,34,3,2,54,64,185
170,YANNI WETZELL,BER,30,1,375:09,195,78,148,52.7%,0,0,0%,39,56,69.6%,33,52,85,14,9,25,13,13,52,47,186
171,ALEX TYUS,ASV,24,5,425:25,136,59,85,69.4%,0,1,0%,18,29,62.1%,38,65,103,10,12,20,20,6,48,22,191
172,RETIN OBASOHAN,ASV,33,13,716:41,229,67,140,47.9%,16,73,21.9%,47,59,79.7%,11,41,52,73,38,55,5,8,93,95,194
173,TIBOR PLEISS,EFS,32,19,477:07,199,68,113,60.2%,14,44,31.8%,21,23,91.3%,32,51,83,15,7,21,11,5,45,28,195
174,SHABAZZ NAPIER,EA7,12,10,297:31,180,19,42,45.2%,31,68,45.6%,49,56,87.5%,4,17,21,47,13,24,0,3,27,57,197
174,MARIUS GRIGONIS,PAO,26,7,463:36,210,21,50,42%,35,80,43.8%,63,75,84%,8,31,39,43,9,31,0,4,62,79,197
174,BRYANT DUNSTON,EFS,29,2,394:20,125,48,72,66.7%,0,5,0%,29,38,76.3%,35,48,83,16,22,16,13,5,54,51,197
177,ROKAS JOKUBAITIS,BAR,33,0,477:18,166,41,103,39.8%,15,35,42.9%,39,49,79.6%,10,52,62,80,7,28,0,10,39,55,201
177,ISAAC BONGA,BAY,29,21,591:26,185,40,97,41.2%,20,59,33.9%,45,55,81.8%,48,70,118,31,23,31,3,6,73,57,201
179,GIANNOULIS LARENTZAKIS,OLY,33,0,526:34,248,30,60,50%,52,132,39.4%,32,43,74.4%,13,51,64,41,18,39,2,3,71,63,202
180,DAVID LIGHTY,ASV,27,18,617:51,219,55,118,46.6%,22,51,43.1%,43,59,72.9%,22,45,67,41,18,37,1,11,53,67,204
181,DEVIN BOOKER,FBB,31,12,654:25,181,49,91,53.8%,17,53,32.1%,32,42,76.2%,49,54,103,33,11,19,19,3,80,49,206
182,JOHN DIBARTOLOMEO,MTA,33,1,547:37,194,16,38,42.1%,42,96,43.8%,36,37,97.3%,19,41,60,38,25,17,0,7,75,66,207
183,ACHILLE POLONARA,"EFS, ZAL",31,9,466:42,123,22,42,52.4%,21,52,40.4%,16,25,64%,16,89,105,28,11,12,18,7,33,35,208
184,DYSHAWN PIERRE,FBB,23,16,455:46,156,34,69,49.3%,25,50,50%,13,22,59.1%,25,57,82,34,6,19,5,4,20,38,209
185,TAMIR BLATT,BER,30,14,595:48,235,9,34,26.5%,61,171,35.7%,34,38,89.5%,5,32,37,137,10,65,0,5,26,31,215
186,VANJA MARINKOVIC,BKN,33,15,648:29,299,43,82,52.4%,60,148,40.5%,33,41,80.5%,12,39,51,37,16,20,1,8,70,45,216
187,JONAH MATHEWS,ASV,30,14,689:36,317,90,178,50.6%,30,98,30.6%,47,54,87%,8,35,43,63,20,42,1,9,64,51,217
187,JARELL MARTIN,MTA,32,8,622:59,239,49,90,54.4%,35,94,37.2%,36,42,85.7%,35,74,109,16,19,17,7,8,88,46,217
189,JASIEL RIVERO,VBC,23,3,432:50,220,76,129,58.9%,3,12,25%,59,82,72%,44,37,81,12,18,33,6,13,60,72,218
189,LAURYNAS BIRUTIS,ZAL,33,1,422:01,163,65,102,63.7%,0,0,0%,33,46,71.7%,42,58,100,14,6,23,11,8,43,48,218
191,SHANE LARKIN,EFS,16,8,458:30,191,26,48,54.2%,35,93,37.6%,34,42,81%,4,36,40,76,17,40,0,4,27,55,220
192,NICK WEILER-BABB,BAY,30,25,764:30,230,42,99,42.4%,41,126,32.5%,23,30,76.7%,27,74,101,61,20,22,8,6,67,45,221
192,DANIEL HACKETT,VIR,31,30,668:07,179,34,63,54%,23,59,39%,42,53,79.2%,9,56,65,83,18,56,2,6,69,81,221
194,TADAS SEDEKERSKIS,BKN,23,3,429:17,135,39,54,72.2%,10,28,35.7%,27,31,87.1%,24,72,96,22,18,11,0,3,31,34,223
195,PETR CORNELIE,RMB,30,16,464:00,190,34,47,72.3%,34,84,40.5%,20,24,83.3%,17,83,100,15,10,12,4,0,42,26,224
196,OTHELLO HUNTER,BAY,24,5,429:53,186,50,91,54.9%,24,55,43.6%,14,18,77.8%,49,67,116,25,14,24,9,6,40,22,226
197,FREDDIE GILLESPIE,BAY,33,26,626:30,145,66,134,49.3%,0,0,0%,13,36,36.1%,81,116,197,14,20,43,33,15,93,60,227
198,ISMAEL BAKO,VIR,33,0,522:44,204,70,104,67.3%,0,0,0%,64,73,87.7%,40,48,88,14,18,29,19,7,82,48,230
199,JOHN BROWN,ASM,33,30,733:15,186,76,151,50.3%,3,8,37.5%,25,37,67.6%,71,49,120,27,42,21,6,3,89,55,231
200,AMATH M'BAYE,EFS,32,14,691:46,225,28,52,53.8%,45,87,51.7%,34,40,85%,13,76,89,17,9,22,11,2,61,39,233
200,OGNJEN DOBRIC,CZV,30,19,703:25,284,68,123,55.3%,41,131,31.3%,25,33,75.8%,20,55,75,48,15,30,0,5,51,50,233
202,XABI LOPEZ-AROSTEGUI,VBC,31,7,581:42,202,42,95,44.2%,23,61,37.7%,49,56,87.5%,28,72,100,45,21,49,0,11,55,80,235
203,JAMES WEBB III,VBC,31,23,665:16,250,40,67,59.7%,52,135,38.5%,14,24,58.3%,29,99,128,18,27,21,12,5,79,28,238
203,IFFE LUNDBERG,VIR,28,22,577:13,232,54,94,57.4%,27,90,30%,43,50,86%,7,53,60,56,20,36,0,5,43,64,238
203,DAULTON HOMMES,BKN,30,21,606:09,217,27,45,60%,39,108,36.1%,46,51,90.2%,21,67,88,48,11,22,13,4,71,50,238
203,ARNAS BUTKEVICIUS,ZAL,33,7,726:20,176,35,65,53.8%,17,63,27%,55,64,85.9%,31,86,117,50,39,41,9,7,88,68,238
207,ARTURAS GUDAITIS,PAO,28,11,482:34,207,77,122,63.1%,0,0,0%,53,100,53%,52,48,100,13,15,22,13,6,69,81,240
208,CHRIST KOUMADJE,BER,31,17,410:38,186,82,116,70.7%,0,0,0%,22,41,53.7%,46,71,117,7,9,26,32,5,68,42,241
209,TORNIKE SHENGELIA,VIR,22,16,493:09,202,59,122,48.4%,11,24,45.8%,51,68,75%,18,51,69,65,19,48,8,12,48,80,242
210,VINCENT POIRIER,RMB,31,1,446:07,182,70,115,60.9%,2,4,50%,36,51,70.6%,44,77,121,17,8,27,30,5,69,53,248
210,BENJAMIN BENTIL,CZV,30,25,606:50,253,64,131,48.9%,27,72,37.5%,44,61,72.1%,35,79,114,33,20,41,6,5,65,62,248
212,COREY WALDEN,BAY,28,3,537:32,240,30,61,49.2%,38,122,31.1%,66,77,85.7%,9,43,52,64,25,36,3,8,62,98,250
212,KYLE HINES,EA7,33,10,619:03,178,76,121,62.8%,0,2,0%,26,38,68.4%,47,72,119,46,19,26,21,12,75,39,250
214,SEMI OJELEYE,VIR,23,20,540:17,244,52,87,59.8%,34,73,46.6%,38,44,86.4%,19,71,90,15,12,19,3,10,42,39,252
215,CASSIUS WINSTON,BAY,28,17,549:57,312,69,171,40.4%,33,113,29.2%,75,84,89.3%,13,47,60,94,23,50,2,15,72,90,253
215,SCOTTIE WILBEKIN,FBB,25,23,591:39,278,40,79,50.6%,55,154,35.7%,33,45,73.3%,5,38,43,65,25,33,1,7,46,77,253
217,LOUIS OLINDE,BER,26,24,585:48,208,47,82,57.3%,25,62,40.3%,39,49,79.6%,29,81,110,29,16,30,9,12,48,55,255
218,MARKUS HOWARD,BKN,32,16,649:45,441,62,131,47.3%,81,226,35.8%,74,83,89.2%,7,36,43,36,18,50,0,17,83,94,259
219,JORDAN MICKEY,VIR,31,17,680:23,231,71,139,51.1%,17,64,26.6%,38,48,79.2%,28,102,130,23,22,38,21,6,54,61,265
220,MAODO LO,BER,25,18,550:28,292,53,111,47.7%,45,127,35.4%,51,61,83.6%,6,36,42,73,15,42,0,10,32,78,266
221,KEVARRIUS HAYES,ZAL,33,27,609:29,182,71,141,50.4%,0,0,0%,40,54,74.1%,78,77,155,17,25,29,35,9,76,52,268
222,JARED HARPER,VBC,30,4,532:02,307,45,101,44.6%,40,119,33.6%,97,119,81.5%,3,22,25,101,12,51,1,7,61,100,270
223,MILOS TEODOSIC,VIR,26,9,506:48,269,20,46,43.5%,56,142,39.4%,61,68,89.7%,7,34,41,155,15,86,2,6,70,72,273
223,NIKOLA KALINIC,BAR,32,26,756:40,221,53,97,54.6%,28,70,40%,31,44,70.5%,26,89,115,55,21,34,5,12,54,55,273
223,IGNAS BRAZDEIKIS,ZAL,31,25,687:21,357,110,226,48.7%,27,86,31.4%,56,70,80%,26,69,95,42,13,46,4,14,56,67,273
226,MARIO HEZONJA,RMB,31,11,576:17,317,49,94,52.1%,62,131,47.3%,33,43,76.7%,6,70,76,35,19,41,6,5,56,47,274
227,AUGUSTINE RUBIT,BAY,20,15,464:38,218,64,116,55.2%,6,20,30%,72,89,80.9%,27,53,80,27,17,25,5,4,39,80,276
227,CORY HIGGINS,BAR,31,0,616:07,272,60,128,46.9%,28,80,35%,68,81,84%,15,56,71,54,26,48,4,9,64,103,276
229,JAMES NUNNALLY,PAR,31,17,688:55,292,64,100,64%,41,102,40.2%,41,48,85.4%,10,50,60,52,16,36,7,3,48,42,278
229,SHAQUIELLE MCKISSIC,OLY,33,7,587:47,287,78,109,71.6%,26,93,28%,53,79,67.1%,12,29,41,56,31,33,1,8,39,66,278
231,JOHANNES THIEMANN,BER,27,4,483:05,212,66,121,54.5%,9,38,23.7%,53,68,77.9%,37,76,113,34,13,38,2,15,36,94,280
232,GUERSCHON YABUSELE,RMB,26,14,585:26,239,61,105,58.1%,25,62,40.3%,42,57,73.7%,22,77,99,31,22,25,8,5,40,51,284
233,ANTE ZIZIC,EFS,30,12,469:00,229,97,139,69.8%,0,0,0%,35,52,67.3%,47,62,109,21,11,19,8,10,46,47,291
233,ROMAN SORKIN,MTA,31,4,515:24,223,94,135,69.6%,2,12,16.7%,29,42,69%,57,42,99,29,12,15,25,5,59,46,291
235,KOSTAS PAPANIKOLAOU,OLY,30,30,740:50,261,51,83,61.4%,44,95,46.3%,27,38,71.1%,18,79,97,59,21,43,5,8,53,47,292
236,KEENAN EVANS,ZAL,17,17,445:52,270,43,76,56.6%,44,96,45.8%,52,64,81.2%,5,49,54,63,17,35,4,11,39,70,296
237,LUKA MITROVIC,CZV,30,9,557:44,223,88,138,63.8%,1,1,100%,44,65,67.7%,54,80,134,54,7,41,6,11,70,69,300
238,NEMANJA NEDOVIC,CZV,26,4,564:21,360,77,153,50.3%,44,156,28.2%,74,86,86%,5,28,33,79,18,45,1,13,40,111,304
238,MAM JAITEH,VIR,32,32,599:10,263,109,187,58.3%,0,0,0%,45,78,57.7%,53,99,152,23,19,50,7,9,67,77,304
240,JALEEN SMITH,BER,30,26,739:27,347,46,98,46.9%,68,182,37.4%,51,59,86.4%,24,56,80,74,24,42,6,6,60,71,320
241,BILLY BARON,EA7,29,16,730:15,315,39,65,60%,59,145,40.7%,60,69,87%,8,64,72,61,17,40,1,4,52,74,323
242,ROLANDS SMITS,ZAL,33,32,786:54,333,84,144,58.3%,41,110,37.3%,42,49,85.7%,52,106,158,37,14,46,4,8,96,64,324
243,ELIJAH BRYANT,EFS,33,23,742:04,277,76,125,60.8%,28,72,38.9%,41,47,87.2%,24,112,136,50,25,45,12,9,73,53,327
243,DWAYNE BACON,PAO,26,26,800:40,429,100,227,44.1%,43,149,28.9%,100,123,81.3%,18,74,92,49,18,32,4,8,68,99,327
245,BOJAN DUBLJEVIC,VBC,26,22,606:40,311,66,109,60.6%,51,115,44.3%,26,29,89.7%,38,90,128,37,15,57,2,7,50,63,332
245,RODRIGUE BEAUBOIS,EFS,29,24,731:09,318,68,117,58.1%,54,110,49.1%,20,23,87%,7,53,60,60,33,27,22,1,57,32,332
247,LUCA VILDOZA,CZV,28,23,671:03,349,59,124,47.6%,54,152,35.5%,69,77,89.6%,12,56,68,111,39,73,2,14,45,68,334
248,MATEUSZ PONITKA,PAO,26,5,654:11,215,44,97,45.4%,16,42,38.1%,79,100,79%,40,99,139,63,29,49,3,5,50,95,340
248,DONATAS MOTIEJUNAS,ASM,33,29,582:38,296,113,173,65.3%,8,31,25.8%,46,81,56.8%,41,78,119,24,8,26,3,10,55,99,340
248,PARIS LEE,PAO,33,17,896:21,368,60,139,43.2%,57,171,33.3%,77,95,81.1%,7,54,61,127,45,66,0,14,74,104,340
251,NICK CALATHES,FBB,33,33,844:50,268,81,154,52.6%,32,95,33.7%,10,30,33.3%,16,124,140,161,36,74,1,9,65,49,351
252,JAN VESELY,BAR,32,14,640:20,287,116,202,57.4%,0,1,0%,55,70,78.6%,35,88,123,47,26,35,8,4,75,77,352
253,JORDAN LOYD,ASM,27,23,686:08,324,64,129,49.6%,39,105,37.1%,79,87,90.8%,9,57,66,74,33,33,4,6,66,96,353
254,MATTHEW COSTELLO,BKN,33,5,651:31,311,70,110,63.6%,40,109,36.7%,51,72,70.8%,45,94,139,50,20,37,29,7,86,70,359
255,BRANDON DAVIES,EA7,32,12,584:26,326,112,205,54.6%,7,20,35%,81,116,69.8%,29,73,102,60,21,55,9,11,72,122,361
256,NICOLO MELLI,EA7,32,31,809:34,254,72,126,57.1%,25,69,36.2%,35,53,66%,43,128,171,42,31,37,11,6,80,92,362
257,GEORGIOS PAPAGIANNIS,PAO,32,22,763:36,277,98,164,59.8%,18,37,48.6%,27,35,77.1%,54,128,182,23,13,39,39,2,69,39,370
258,JOSH NEBO,MTA,33,29,717:24,247,97,154,63%,0,0,0%,53,82,64.6%,74,124,198,20,14,29,21,5,64,66,382
259,MOUSTAPHA FALL,OLY,32,31,683:47,234,102,136,75%,0,0,0%,30,63,47.6%,54,95,149,64,20,42,25,10,69,79,383
260,EDGARAS ULANOVAS,ZAL,33,33,927:46,334,78,161,48.4%,28,73,38.4%,94,115,81.7%,41,65,106,87,29,69,2,8,67,123,388
261,NICOLAS LAPROVITTOLA,BAR,33,33,783:12,369,44,84,52.4%,71,166,42.8%,68,79,86.1%,18,56,74,151,22,74,0,6,87,87,390
261,ALPHA DIALLO,ASM,33,12,839:40,364,104,196,53.1%,29,84,34.5%,69,91,75.8%,53,89,142,69,47,46,9,11,94,79,390
263,TOMAS SATORANSKY,BAR,30,30,723:37,259,61,109,56%,32,63,50.8%,41,52,78.8%,27,81,108,133,21,53,2,4,73,88,391
264,NIKOLA MIROTIC,BAR,23,23,575:36,364,77,127,60.6%,43,110,39.1%,81,102,79.4%,41,67,108,29,20,33,11,6,46,88,397
265,DERRICK WILLIAMS,PAO,33,31,974:44,412,89,156,57.1%,55,146,37.7%,69,96,71.9%,37,96,133,40,25,46,5,11,53,84,404
266,LUKE SIKMA,BER,32,29,722:01,238,76,144,52.8%,14,48,29.2%,44,65,67.7%,43,125,168,158,32,82,4,10,81,102,406
267,YOUSSOUPHA FALL,ASV,33,27,658:15,303,117,171,68.4%,0,0,0%,69,97,71.1%,73,130,203,9,9,44,11,5,97,100,407
268,KOSTAS SLOUKAS,OLY,28,0,634:32,294,56,113,49.6%,27,91,29.7%,101,111,91%,5,55,60,165,10,60,1,6,32,108,409
269,CHRIS JONES,VBC,27,24,617:39,366,98,174,56.3%,34,99,34.3%,68,76,89.5%,6,52,58,117,31,52,0,6,41,86,410
270,GABRIEL DECK,RMB,27,19,679:10,318,101,162,62.3%,14,44,31.8%,74,84,88.1%,39,102,141,54,15,40,3,7,53,81,411
271,MARKO GUDURIC,FBB,32,5,777:02,403,77,125,61.6%,56,144,38.9%,81,99,81.8%,18,76,94,101,31,60,0,7,82,92,418
272,FILIP PETRUSEV,CZV,33,10,736:09,358,114,190,60%,20,56,35.7%,70,101,69.3%,47,124,171,23,17,39,24,11,69,89,420
273,DONTA HALL,ASM,33,4,619:29,263,104,139,74.8%,0,0,0%,55,78,70.5%,66,105,171,16,16,14,30,7,72,76,421
274,ELIE OKOBO,ASM,33,5,857:06,427,87,160,54.4%,46,125,36.8%,115,135,85.2%,11,59,70,118,31,69,6,8,84,107,426
275,NANDO DE COLO,ASV,28,23,666:33,387,79,149,53%,45,106,42.5%,94,103,91.3%,3,69,72,97,27,80,1,11,43,125,435
276,THOMAS WALKUP,OLY,33,33,829:50,269,62,106,58.5%,37,97,38.1%,34,37,91.9%,19,75,94,192,64,60,5,4,80,63,436
277,NIGEL HAYES-DAVIS,FBB,33,33,957:17,345,86,143,60.1%,37,98,37.8%,62,83,74.7%,46,96,142,48,40,18,8,8,76,98,440
278,BONZIE COLSON,MTA,33,25,850:21,356,100,171,58.5%,38,97,39.2%,42,56,75%,55,129,184,19,42,21,23,5,71,59,442
279,ROKAS GIEDRAITIS,BKN,33,31,873:34,340,82,145,56.6%,39,128,30.5%,59,70,84.3%,45,146,191,53,29,21,8,11,54,74,446
280,MAIK KOTSAR,BKN,33,27,675:17,310,130,198,65.7%,0,0,0%,50,87,57.5%,54,89,143,47,25,18,13,13,58,103,447
281,ZACH LEDAY,PAR,33,28,1004:24,360,103,190,54.2%,25,66,37.9%,79,91,86.8%,39,131,170,41,25,34,10,17,79,122,458
282,DANTE EXUM,PAR,32,7,727:31,420,98,164,59.8%,33,82,40.2%,125,145,86.2%,22,56,78,90,25,60,5,5,86,131,463
283,WADE BALDWIN IV,MTA,28,27,770:12,474,113,224,50.4%,52,168,31%,92,106,86.8%,11,88,99,138,27,69,9,11,76,121,471
284,KEVIN PUNTER,PAR,33,21,903:47,510,104,205,50.7%,62,150,41.3%,116,128,90.6%,9,61,70,79,37,38,3,16,88,119,475
284,LORENZO BROWN,MTA,29,29,912:16,474,127,250,50.8%,52,150,34.7%,64,71,90.1%,10,79,89,165,30,85,2,12,58,98,475
286,JOHNATHAN MOTLEY,FBB,30,24,680:47,436,170,267,63.7%,3,10,30%,87,127,68.5%,85,81,166,46,16,61,12,19,93,127,486
287,MIKE JAMES,ASM,30,30,934:51,497,116,248,46.8%,47,160,29.4%,124,159,78%,20,84,104,140,32,71,1,20,53,152,502
288,VASILIJE MICIC,EFS,30,28,944:31,485,84,155,54.2%,73,204,35.8%,98,113,86.7%,9,84,93,160,27,83,2,21,74,150,522
289,DZANAN MUSA,RMB,33,24,781:32,506,99,168,58.9%,55,141,39%,143,166,86.1%,21,75,96,86,14,52,5,12,54,132,543
290,WALTER TAVARES,RMB,33,31,791:22,346,135,200,67.5%,0,0,0%,76,97,78.4%,86,128,214,51,30,72,75,11,103,101,545
291,DARIUS THOMPSON,BKN,33,32,880:41,416,111,198,56.1%,43,109,39.4%,65,85,76.5%,34,68,102,221,57,89,15,7,84,105,563
292,WILL CLYBURN,EFS,33,17,1099:59,559,119,242,49.2%,71,190,37.4%,108,131,82.4%,33,160,193,71,35,52,6,18,71,168,626
293,MATHIAS LESSORT,PAR,33,20,1002:21,402,146,211,69.2%,0,1,0%,110,148,74.3%,106,132,238,46,30,48,27,11,88,156,648
294,SASHA VEZENKOV,OLY,32,31,917:13,559,144,220,65.5%,66,163,40.5%,73,86,84.9%,53,170,223,59,30,30,8,7,45,89,700
